# This is the Gpremacy default resource card data file.
# This file is a comma separated value file whose format is as follows:
#
#    "[Flavor Text of Card]","[Country Name]","[Resource Name]",[Resource production]

"Manhattan Project: Allows Nuclear Weapons for $500M and 1 Mineral","","Nuke",1
"Manhattan Project: Allows Nuclear Weapons for $500M and 1 Mineral","","Nuke",1
"Manhattan Project: Allows Nuclear Weapons for $500M and 1 Mineral","","Nuke",1
"Star Wars Project: Allows Defensive Orbiting Lasers for $1000M and 2 Minerals","","LSat",1
"Star Wars Project :Allows Defensive Orbiting Lasers for $1000M and 2 Minerals","","LSat",1

"Adams Grain Co.","Mozambique","Grain",3
"Allen Oil Co.","Zaire","Oil",2
"B.W. Reed Co.","South Africa","Grain",2
"Idah Oil","Nigeria","Oil",3
"McMorland Mines","Mozambique","Mineral",2
"Watt & Warren","South Africa","Mineral",3

"Chin Oil","Shantung","Oil",3
"Hoppo Oil Co.","Nanling","Oil",2
"Ku-Chan-Li","Nanling","Grain",3
"Min-Shan Mines","Manchuria","Mineral",2
"Obo Mines","Mongolia","Mineral",3
"Pak-Hoi Grains","Shantung","Grain",2

"Bayer Mines","Eastern Europe","Mineral",3
"Cordoba Mining Co.","Iberia","Mineral",2
"Gauthier Grains","Western Europe","Grain",3
"Huber Grain Co.","Eastern Europe","Grain",2
"Presto Oil Co.","British Isles","Oil",3
"Vardo Oil","Scandinavia","Oil",2

"Buchardo & Young","Argentina","Grain",3
"Inca Oil","Venezuela","Oil",3
"Pachacuti Mines","Peru","Mineral",2
"Popayan Grains","Venezuela","Grain",2
"Sammy Mining Co.","Brazil","Mineral",3
"Sapra Oil Co.","Peru","Oil",2

"Baku Oil","Kola","Oil",3
"Haliskie & Baine","Kazakh","Grain",2
"Kyzyl Mines","Buryatsk","Mineral",2
"Rovno Grains","Russia","Grain",3
"Tiksi & Zaliv","Yakutsk","Oil",2
"Tomsk Mining Co.","Siberia","Mineral",3

"Bainbridge Grains","Midwest U.S.A.","Grain",3
"Clark Oil Co.","Western U.S.A.","Oil",3
"Hurren Oil","Alaska","Oil",2
"Moorhead Mines","Midwest U.S.A.","Mineral",3
"Kain Grain Co.","Eastern U.S.A.","Grain",2
"Reimers Mining Co.","Eastern U.S.A.","Mineral",2

"Pug's Pasta Co.","Iraq","Grain",3
